"category","index","accuracy"
"Model 10","13397","4"
"Actual","8831","3"
"Model 10","8517","4"
"Model 9","1858","4"
"Model 9","82","3"
"Actual","13484","2"
"Actual","921","2"
"Model 10","12290","4"
"Model 9","11857","4"
"Actual","6968","4"
"Model 9","1574","4"
"Actual","2429","1"
"Model 10","1930","1"
"Model 10","10051","4"
"Model 10","72","1"
"Model 10","4792","1"
"Actual","6847","2"
"Model 9","2690","1"
"Actual","13038","3"
"Model 10","12853","4"
"Actual","2200","2"
"Actual","1615","1"
"Model 9","11478","2"
"Model 9","9572","1"
"Actual","10248","2"
"Actual","4331","2"
"Actual","9685","4"
"Actual","8271","3"
"Actual","7526","4"
"Model 9","2940","4"
"Actual","3167","4"
"Model 9","2580","3"
"Actual","10132","2"
"Model 10","12396","2"
"Model 10","12260","2"
"Actual","2958","2"
"Actual","8957","2"
"Model 10","11792","2"
"Model 9","10806","1"
"Model 10","14130","4"
"Model 9","6414","3"
"Model 9","2113","4"
"Model 9","8840","4"
"Actual","7068","0"
"Model 9","8530","1"
"Model 10","1806","2"
"Model 10","1583","3"
"Actual","4203","3"
"Model 9","1892","2"
"Actual","3731","2"
"Actual","8410","2"
"Model 10","4228","2"
"Model 9","9081","4"
"Model 9","13839","2"
"Model 9","4558","2"
"Actual","12546","1"
"Actual","4729","1"
"Model 10","9420","2"
"Actual","12054","1"
"Actual","6680","4"
"Actual","3766","2"
"Model 10","12461","2"
"Actual","8413","2"
"Model 9","4405","4"
"Model 10","11962","2"
"Model 9","8781","1"
"Model 9","862","2"
"Actual","8037","4"
"Model 9","9034","2"
"Model 10","4797","3"
"Actual","11235","4"
"Actual","1206","1"
"Model 9","13332","3"
"Model 9","8001","1"
"Model 9","12040","2"
"Model 9","4246","2"
"Model 9","1462","4"
"Actual","6032","1"
"Model 10","1947","1"
"Model 10","11194","3"
"Actual","10152","2"
"Actual","783","4"
"Model 10","11340","3"
"Model 10","442","2"
"Actual","4535","4"
"Actual","11411","2"
"Model 10","14341","3"
"Model 9","2144","1"
"Model 10","13577","1"
"Model 9","649","4"
"Actual","203","4"
"Model 9","7130","2"
"Actual","6888","3"
"Model 10","2293","1"
"Model 9","13333","1"
"Actual","11820","1"
"Model 10","8516","2"
"Model 10","14784","4"
"Actual","14466","1"
"Actual","2248","3"
"Model 9","7718","3"
"Model 9","586","3"
"Model 9","10189","2"
"Model 10","13009","1"
"Model 10","9490","1"
"Model 10","5157","3"
"Model 9","4597","2"
"Actual","6915","1"
"Actual","13805","1"
"Model 10","4246","3"
"Model 10","8681","4"
"Model 10","12358","2"
"Model 9","5987","1"
"Model 10","12179","2"
"Actual","12194","4"
"Model 10","13332","3"
"Model 10","6970","2"
"Model 9","3077","2"
"Model 9","8110","4"
"Model 9","11924","4"
"Actual","2204","1"
"Model 9","2025","4"
"Model 9","10500","1"
"Actual","6224","4"
"Model 10","13367","4"
"Model 9","14242","3"
"Model 9","415","1"
"Actual","12592","3"
"Model 10","1429","1"
"Model 9","12529","2"
"Actual","10237","1"
"Model 9","6748","4"
"Model 9","3209","4"
"Model 10","7224","2"
"Model 9","3844","4"
"Actual","3176","2"
"Model 9","11972","4"
"Model 9","11978","3"
"Actual","12978","1"
"Model 10","1047","2"
"Model 10","11835","4"
"Model 10","1070","2"
"Model 9","7480","4"
"Model 9","2835","1"
"Model 10","10828","3"
"Model 9","11100","4"
"Actual","10084","2"
"Actual","8900","1"
"Actual","1201","4"
"Model 10","12353","3"
"Model 9","7878","4"
"Actual","2943","2"
"Model 10","2539","3"
"Model 10","12521","3"
"Actual","10659","3"
"Model 9","14379","3"
"Model 9","10360","3"
"Model 9","5975","2"
"Actual","3111","2"
"Model 10","8840","4"
"Model 10","12177","4"
"Actual","11342","3"
"Actual","12017","1"
"Actual","6043","1"
"Actual","9427","3"
"Model 10","3764","3"
"Model 9","6282","4"
"Model 9","1847","4"
"Model 9","11034","4"
"Actual","7217","4"
"Actual","4330","3"
"Model 10","9046","2"
"Model 9","1433","4"
"Actual","2372","2"
"Model 10","2869","3"
"Model 10","14173","1"
"Actual","8854","0"
"Model 10","7504","4"
"Model 10","12399","3"
"Model 9","1684","2"
"Model 10","1073","4"
"Model 10","5619","2"
"Model 10","13149","4"
"Model 9","3071","2"
"Model 10","12298","3"
"Model 10","3227","1"
"Model 9","14957","4"
"Model 9","4555","4"
"Actual","6725","2"
"Model 10","6337","4"
"Model 10","13499","1"
"Actual","3461","4"
"Model 9","2608","2"
"Model 10","1826","4"
"Model 10","10008","4"
"Model 9","9490","1"
"Actual","13212","4"
"Actual","1739","4"
"Actual","8412","4"
"Model 10","8842","2"
"Model 10","3014","1"
"Model 10","12199","2"
"Model 10","8900","1"
"Model 9","11435","1"
"Actual","5166","4"
"Model 9","9879","2"
"Model 9","2429","1"
"Model 9","3039","2"
"Model 9","13607","4"
"Model 9","13454","4"
"Model 9","12708","2"
"Model 10","5496","4"
"Actual","3088","1"
"Actual","4797","3"
"Model 10","7506","2"
"Actual","11672","3"
"Actual","7440","1"
"Model 9","7138","4"
"Model 9","1569","2"
"Actual","11695","2"
"Model 10","1247","4"
"Model 10","12546","4"
"Actual","14398","4"
"Model 9","533","3"
"Actual","946","1"
"Model 10","3773","1"
"Actual","2087","4"
"Actual","5636","2"
"Model 10","14935","1"
"Model 10","7866","4"
"Model 9","2578","4"
"Actual","300","2"
"Model 10","13465","1"
"Model 9","6500","4"
"Actual","4088","3"
"Actual","2739","2"
"Model 9","9929","2"
"Model 10","10599","4"
"Model 10","9092","4"
"Model 9","2014","4"
"Model 10","255","4"
"Model 10","5500","4"
"Model 9","470","2"
"Actual","9845","2"
"Model 10","8027","4"
"Model 10","11300","2"
"Model 10","1546","4"
"Model 9","14912","2"
"Actual","13612","4"
"Actual","13785","3"
"Model 9","14533","2"
"Model 10","12862","4"
"Model 9","14552","1"
"Model 10","1292","2"
"Model 10","2087","3"
"Model 10","3152","1"
"Actual","10932","4"
"Actual","8910","1"
"Model 10","2226","4"
"Actual","6508","4"
"Actual","5794","4"
"Actual","13409","4"
"Model 9","6802","2"
"Model 9","12158","4"
"Actual","1277","1"
"Model 10","5877","4"
"Model 10","6398","1"
"Model 9","813","4"
"Model 9","5728","3"
"Model 10","623","2"
"Model 9","8784","2"
"Model 9","13584","1"
"Model 9","9679","4"
"Actual","5033","1"
"Model 9","2701","1"
"Model 9","6","4"
"Model 9","5053","1"
"Model 9","4485","2"
"Model 9","4188","4"
"Model 9","13583","1"
"Model 9","385","4"
"Model 10","12268","1"
"Model 10","9727","4"
"Model 9","11998","1"
"Actual","8504","3"
"Model 9","9979","4"
"Model 9","14301","2"
"Model 10","11111","4"
"Actual","5690","4"
"Model 10","12748","3"
"Actual","4216","2"
"Model 10","12010","1"
"Actual","2181","3"
"Model 9","9216","4"
"Model 9","13242","1"
"Model 10","8522","2"
"Model 10","2835","1"
"Actual","11397","1"
"Model 9","7154","4"
"Model 9","12546","4"
"Model 10","7837","1"
"Model 9","10338","2"
"Model 10","6982","4"
"Model 9","763","2"
"Model 9","6595","3"
"Model 10","35","1"
"Actual","7158","4"
"Model 10","357","4"
"Model 10","2768","4"
"Model 10","5607","4"
"Model 9","7224","2"
"Actual","13839","2"
"Model 10","4952","1"
"Model 10","7083","4"
"Model 9","9970","1"
"Model 9","324","3"
"Actual","28","3"
"Actual","8130","2"
"Actual","5343","2"
"Model 10","7135","4"
"Model 9","854","2"
"Model 9","13911","2"
"Actual","880","3"
"Actual","11545","2"
"Actual","12003","4"
"Actual","9737","2"
"Actual","4685","4"
"Actual","11859","4"
"Model 10","4675","3"
"Model 9","12179","2"
"Model 9","827","2"
"Model 9","12194","1"
"Model 9","362","3"
"Model 10","14071","4"
"Model 10","3509","2"
"Model 10","629","3"
"Model 10","2070","1"
"Actual","10662","1"
"Model 10","11143","2"
"Actual","988","1"
"Actual","14908","2"
"Model 9","14020","4"
"Model 9","9531","3"
"Actual","106","3"
"Model 9","8783","4"
"Model 10","7599","1"
"Model 10","14077","4"
"Model 9","11388","2"
"Model 9","11981","4"
"Model 9","2528","3"
"Model 10","5542","4"
"Actual","12168","3"
"Actual","4510","1"
"Model 10","6372","3"
"Model 10","851","4"
"Actual","10148","3"
"Model 9","10931","4"
"Model 9","11575","4"
"Model 9","3983","4"
"Model 10","7759","4"
"Model 9","407","3"
"Model 9","11551","3"
"Actual","12751","4"
"Actual","10312","3"
"Model 9","6247","4"
"Actual","11653","4"
"Model 10","4382","3"
"Model 9","6016","2"
"Model 9","11700","4"
"Actual","3064","2"
"Model 9","8729","3"
"Model 10","8652","2"
"Actual","5063","4"
"Actual","220","1"
"Actual","2580","3"
"Model 10","2939","1"
"Model 10","9113","1"
"Model 10","9779","3"
"Model 10","11431","2"
"Model 9","11573","1"
"Actual","7970","4"
"Model 10","10846","4"
"Model 10","10691","4"
"Model 10","12808","4"
"Model 10","11757","4"
"Model 10","5345","3"
"Model 9","11019","4"
"Model 9","6160","1"
"Model 9","2593","3"
"Actual","6054","3"
"Model 9","8271","1"
"Model 9","4133","3"
"Model 9","8481","4"
"Model 9","6450","3"
"Actual","10042","3"
"Actual","14050","2"
"Actual","2874","4"
"Actual","3578","0"
"Actual","13104","3"
"Actual","12755","3"
"Model 9","4518","3"
"Model 10","817","4"
"Model 10","11418","4"
"Model 9","13390","4"
"Actual","13236","2"
"Actual","8059","4"
"Model 9","863","4"
"Model 9","9956","1"
"Model 9","8831","2"
"Actual","644","1"
"Model 9","3913","3"
"Model 10","3305","2"
"Model 10","1029","3"
"Model 10","12174","3"
"Model 9","1380","4"
"Model 9","8295","2"
"Model 10","4030","1"
"Actual","1990","1"
"Model 10","8072","3"
"Model 9","10606","4"
"Actual","4021","0"
"Actual","8789","2"
"Model 10","11378","4"
"Actual","4540","3"
"Model 10","3881","2"
"Actual","177","2"
"Model 10","5728","3"
"Model 9","11151","4"
"Actual","5408","1"
"Actual","1565","2"
"Model 10","9568","1"
"Actual","13078","1"
"Model 10","13603","1"
"Model 9","14772","4"
"Model 10","4819","2"
"Model 9","876","3"
"Model 9","12882","1"
"Model 10","7667","4"
"Model 9","4046","1"
"Model 9","14279","2"
"Model 9","9160","3"
"Model 10","6881","2"
"Actual","8024","2"
"Model 9","7825","4"
"Model 9","38","4"
"Model 10","11746","1"
"Model 9","8635","3"
"Model 10","10449","1"
"Model 10","220","1"
"Model 10","297","2"
"Model 9","9187","1"
"Model 9","10032","3"
"Actual","8779","1"
"Actual","7396","4"
"Actual","11804","2"
"Model 9","8039","3"
"Model 9","7847","3"
"Actual","11315","2"
"Model 9","2820","2"
"Model 10","14660","1"
"Actual","4732","3"
"Model 10","1622","1"
"Actual","112","4"
"Actual","9734","3"
"Model 9","1175","1"
"Model 10","1165","2"
"Model 9","1465","2"
"Actual","8755","0"
"Model 10","3390","1"
"Actual","4964","2"
"Model 10","14023","4"
"Model 10","11103","2"
"Actual","9313","0"
"Model 10","6595","3"
"Actual","8790","4"
"Model 9","9967","2"
"Model 9","13636","4"
"Model 10","11500","4"
"Actual","12552","4"
"Model 9","1949","3"
"Actual","6279","4"
"Actual","13190","1"
"Actual","9756","2"
"Actual","13567","2"
"Model 9","10514","3"
"Actual","1428","0"
"Model 9","6161","4"
"Model 9","3257","2"
"Model 9","11550","4"
"Actual","4089","4"
"Model 9","11332","4"
"Model 10","14094","3"
"Actual","13173","2"
"Model 10","12256","4"
"Model 9","3933","4"
"Model 10","857","4"
"Model 9","5166","4"
"Actual","5590","1"
"Actual","7276","3"
"Model 10","14108","3"
"Actual","12907","3"
"Model 9","792","2"
"Model 10","2506","2"
"Model 9","7540","4"
"Actual","13995","4"
"Actual","11479","1"
"Model 10","12763","1"
"Model 10","9921","2"
"Actual","5016","4"
"Actual","3916","3"
"Model 10","3248","4"
"Model 9","5645","4"
"Actual","12608","1"
"Model 9","10025","3"
"Model 10","2410","4"
"Model 10","8645","1"
"Model 10","13512","4"
"Model 9","1197","1"
"Model 10","8138","2"
"Actual","4445","3"
"Actual","10849","4"
"Model 10","8729","3"
"Actual","4793","2"
"Actual","1227","1"
"Actual","6537","2"
"Actual","14319","2"
"Actual","1522","4"
"Model 10","12879","4"
"Actual","618","3"
"Actual","13232","1"
"Model 10","4079","1"
"Actual","8937","1"
"Model 10","448","2"
"Model 10","10978","4"
"Model 10","8632","2"
"Actual","1537","1"
"Model 10","2779","2"
"Model 9","2887","4"
"Actual","11575","4"
"Model 9","10003","1"
"Model 9","8428","2"
"Model 10","14594","4"
"Actual","13508","1"
"Model 10","3322","4"
"Model 9","10802","3"
"Model 9","3506","2"
"Actual","13339","1"
"Model 10","12282","4"
"Model 9","12282","4"
"Model 10","1543","3"
"Model 9","13453","2"
"Model 10","2780","4"
"Model 9","4434","3"
"Actual","10452","4"
"Model 9","8720","1"
"Model 9","6887","2"
"Model 9","736","4"
"Model 10","1732","2"
"Model 9","7210","2"
"Model 10","2355","4"
"Model 9","4195","4"
"Model 9","8474","2"
"Model 9","2661","1"
"Model 10","12097","1"
"Model 9","8143","2"
"Model 10","11132","4"
"Actual","8190","4"
"Model 10","11857","4"
"Model 9","6040","2"
"Model 10","5996","1"
"Model 10","9150","3"
"Actual","8861","4"
"Model 10","7377","3"
"Model 10","1851","2"
"Model 9","10043","1"
"Model 9","2603","4"
"Model 9","11875","1"
"Model 10","7043","2"
"Model 9","8483","1"
"Actual","1296","4"
"Actual","9069","4"
"Model 10","6124","1"
"Model 10","11861","4"
"Model 10","11957","1"
"Model 9","12418","4"
"Model 9","7435","4"
"Actual","654","4"
"Actual","4900","1"
"Actual","14839","3"
"Actual","847","1"
"Actual","11437","2"
"Actual","10496","4"
"Model 9","8750","4"
"Model 9","9064","1"
"Actual","4779","1"
"Actual","9015","4"
"Actual","10643","4"
"Model 9","9439","4"
"Actual","12222","4"
"Model 10","2018","4"
"Model 9","2051","1"
"Model 10","10653","4"
"Model 9","9826","3"
"Model 10","9395","1"
"Model 9","717","2"
"Actual","2000","3"
"Model 9","9843","1"
"Actual","1307","1"
"Actual","8359","4"
"Actual","3894","3"
"Actual","12619","3"
"Actual","12687","0"
"Model 10","13301","2"
"Model 9","11051","1"
"Model 10","7915","4"
"Model 10","368","2"
"Model 10","9938","4"
"Actual","6004","3"
"Model 9","12210","2"
"Model 9","2591","4"
"Actual","8550","0"
"Actual","9112","2"
"Model 10","9177","1"
"Model 10","3917","4"
"Actual","2780","4"
"Model 10","12794","1"
"Actual","5489","2"
"Model 10","38","4"
"Model 9","4161","1"
"Model 10","8784","2"
"Model 10","11637","4"
"Model 9","14345","4"
"Actual","5341","4"
"Model 10","13970","1"
"Model 10","4859","3"
"Model 10","9064","2"
"Actual","13515","4"
"Model 10","2330","2"
"Model 10","12438","4"
"Model 10","401","2"
"Model 9","4793","3"
"Model 9","9450","1"
"Actual","5686","2"
"Model 10","13772","1"
"Model 9","9597","4"
"Actual","11259","1"
"Actual","13039","4"
"Model 9","4804","3"
"Model 10","5851","2"
"Actual","7471","4"
"Model 10","8679","4"
"Model 9","7912","4"
"Model 9","12748","3"
"Model 10","4280","4"
"Actual","9739","3"
"Actual","13869","2"
"Actual","12199","2"
"Actual","11869","4"
"Model 10","5834","2"
"Model 10","12678","1"
"Model 10","6091","2"
"Actual","12399","2"
"Model 10","272","3"
"Model 9","8470","1"
"Model 9","4114","4"
"Model 10","1401","1"
"Model 10","4844","2"
"Model 9","4302","4"
"Model 9","397","1"
"Model 10","7442","4"
"Model 9","5065","2"
"Model 9","1070","2"
"Actual","10859","1"
"Actual","10978","1"
"Model 10","7776","4"
"Actual","3675","3"
"Model 9","5604","2"
"Actual","7928","1"
"Actual","9533","2"
"Actual","2722","3"
"Model 9","268","1"
"Model 10","479","3"
"Model 10","11859","4"
"Model 10","394","4"
"Actual","200","1"
"Actual","1898","3"
"Model 10","6189","1"
"Actual","5441","1"
"Model 10","7445","4"
"Model 10","1506","4"
"Actual","12983","2"
"Model 9","5772","4"
"Model 9","1956","4"
"Model 10","7460","4"
"Actual","12093","2"
"Model 9","4545","2"
"Model 9","9391","2"
"Model 9","13452","4"
"Actual","4822","2"
"Model 9","3764","1"
"Actual","3917","4"
"Actual","8477","0"
"Model 9","4685","4"
"Model 10","13293","2"
"Actual","2349","1"
"Model 9","384","1"
"Model 10","1541","4"
"Actual","7106","3"
"Actual","13099","3"
"Actual","13751","2"
"Actual","1436","4"
"Model 9","4283","3"
"Actual","840","4"
"Model 9","4461","2"
"Actual","1852","1"
"Model 10","14286","2"
"Model 10","7697","3"
"Actual","12643","2"
"Model 9","1315","4"
"Actual","9039","1"
"Model 10","221","4"
"Model 10","135","3"
"Actual","510","3"
"Model 10","7292","1"
"Model 9","6481","2"
"Model 9","2330","2"
"Model 10","10033","1"
"Actual","5646","2"
"Model 10","7068","1"
"Model 9","1810","2"
"Model 9","12751","4"
"Model 9","8861","3"
"Actual","10256","3"
"Actual","2934","3"
"Actual","12163","2"
"Model 9","10205","4"
"Model 9","11154","3"
"Actual","11271","1"
"Model 9","11744","3"
"Model 9","10015","4"
"Actual","2620","1"
"Model 10","10232","1"
"Model 10","9763","2"
"Model 10","520","2"
"Actual","4036","1"
"Model 9","14834","4"
"Model 9","2102","3"
"Model 9","11236","1"
"Model 9","2674","4"
"Model 9","142","4"
"Actual","8039","2"
"Model 10","3461","4"
"Actual","1153","1"
"Model 10","9223","1"
"Model 9","7506","2"
"Model 9","1761","2"
"Model 10","2255","2"
"Model 9","5054","4"
"Model 9","14130","4"
"Actual","11190","4"
"Actual","9046","4"
"Actual","4","2"
"Actual","8392","1"
"Model 9","7366","4"
"Model 9","502","4"
"Model 9","9820","4"
"Actual","10628","2"
"Model 10","7271","4"
"Model 10","5987","2"
"Actual","3558","4"
"Actual","10110","2"
"Model 9","11134","1"
"Actual","1649","4"
"Actual","3400","2"
"Model 9","12290","4"
"Model 10","1662","3"
"Actual","1074","3"
"Actual","12203","1"
"Model 10","7597","3"
"Model 9","1325","4"
"Model 9","12562","2"
"Model 10","13428","2"
"Model 10","4670","1"
"Model 9","6513","2"
"Actual","1810","1"
"Model 9","7316","4"
"Model 10","2730","4"
"Model 9","32","4"
"Model 10","4080","4"
"Model 10","3323","3"
"Model 9","8311","2"
"Model 9","4216","2"
"Actual","9968","2"
"Model 10","12276","4"
"Model 10","1661","4"
"Model 9","6366","1"
"Model 10","11226","4"
"Model 10","2257","1"
"Model 9","12396","2"
"Actual","13454","4"
"Actual","1398","2"
"Actual","7011","1"
"Model 9","5016","4"
"Actual","7524","4"
"Model 9","6486","1"
"Model 9","6886","4"
"Model 10","7766","1"
"Model 10","1023","2"
"Model 10","14106","4"
"Model 10","7175","4"
"Actual","7118","2"
"Actual","13428","1"
"Model 10","9856","2"
"Actual","3736","3"
"Model 10","5341","4"
"Actual","7142","3"
"Actual","1869","3"
"Model 10","4771","4"
"Model 9","14319","4"
"Model 10","13661","3"
